mean,RMS,ptp,std,max,min
20.504,20.504,0.187,0.036,20.609,20.422
20.504,20.504,0.187,0.036,20.609,20.422
20.504,20.504,0.187,0.036,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.502,20.502,0.187,0.037,20.609,20.422
20.502,20.503,0.187,0.037,20.609,20.422
20.502,20.502,0.187,0.037,20.609,20.422
20.502,20.502,0.187,0.037,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.502,20.502,0.187,0.037,20.609,20.422
20.5,20.5,0.187,0.037,20.609,20.422
20.5,20.5,0.187,0.037,20.609,20.422
20.501,20.501,0.187,0.037,20.609,20.422
20.501,20.501,0.187,0.037,20.609,20.422
20.502,20.502,0.187,0.036,20.609,20.422
20.502,20.502,0.187,0.036,20.609,20.422
20.503,20.503,0.187,0.035,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.504,20.504,0.187,0.036,20.609,20.422
20.504,20.504,0.187,0.036,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.503,20.503,0.187,0.036,20.609,20.422
20.505,20.505,0.187,0.036,20.609,20.422
20.506,20.506,0.187,0.035,20.609,20.422
20.506,20.506,0.187,0.036,20.609,20.422
20.507,20.507,0.187,0.035,20.609,20.422
20.507,20.507,0.187,0.035,20.609,20.422
20.506,20.506,0.187,0.035,20.609,20.422
20.507,20.507,0.187,0.035,20.609,20.422
20.508,20.508,0.187,0.035,20.609,20.422
20.508,20.508,0.187,0.035,20.609,20.422
20.508,20.508,0.187,0.034,20.609,20.422
20.508,20.508,0.187,0.034,20.609,20.422
20.508,20.508,0.187,0.034,20.609,20.422
20.508,20.508,0.187,0.035,20.609,20.422
20.507,20.507,0.187,0.035,20.609,20.422
20.507,20.507,0.187,0.033,20.609,20.422
20.505,20.505,0.158,0.033,20.58,20.422
20.503,20.503,0.148,0.032,20.57,20.422
20.503,20.503,0.148,0.033,20.57,20.422
20.503,20.503,0.148,0.033,20.57,20.422
20.504,20.504,0.148,0.033,20.57,20.422
20.503,20.503,0.148,0.034,20.57,20.422
20.502,20.503,0.148,0.033,20.57,20.422
20.502,20.502,0.148,0.033,20.57,20.422
20.503,20.503,0.148,0.033,20.57,20.422
20.503,20.503,0.148,0.032,20.57,20.422
20.503,20.503,0.148,0.032,20.57,20.422
20.502,20.502,0.148,0.033,20.57,20.422
20.503,20.503,0.148,0.033,20.57,20.422
20.503,20.503,0.148,0.033,20.57,20.422
20.504,20.504,0.148,0.033,20.57,20.422
20.504,20.504,0.148,0.034,20.57,20.422
20.503,20.503,0.148,0.034,20.57,20.422
20.503,20.503,0.148,0.034,20.57,20.422
20.504,20.504,0.157,0.035,20.579,20.422
20.504,20.504,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.504,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.035,20.579,20.422
20.505,20.505,0.157,0.036,20.579,20.422
20.506,20.506,0.157,0.036,20.579,20.422
20.506,20.506,0.157,0.036,20.579,20.422
20.506,20.506,0.157,0.036,20.579,20.422
20.505,20.505,0.157,0.036,20.579,20.422
20.506,20.506,0.157,0.036,20.579,20.422
20.505,20.505,0.157,0.037,20.579,20.422
20.504,20.504,0.157,0.037,20.579,20.422
20.504,20.504,0.157,0.037,20.579,20.422
20.504,20.504,0.157,0.037,20.579,20.422
20.503,20.503,0.157,0.037,20.579,20.422
20.503,20.503,0.157,0.037,20.579,20.422
20.502,20.502,0.157,0.038,20.579,20.422
20.501,20.501,0.157,0.038,20.579,20.422
20.502,20.502,0.157,0.038,20.579,20.422
20.502,20.502,0.157,0.038,20.579,20.422
20.502,20.502,0.157,0.038,20.579,20.422
20.501,20.501,0.157,0.038,20.579,20.422
20.5,20.5,0.157,0.039,20.579,20.422
20.5,20.5,0.157,0.039,20.579,20.422
20.499,20.499,0.157,0.039,20.579,20.422
20.499,20.499,0.157,0.039,20.579,20.422
20.499,20.499,0.157,0.039,20.579,20.422
20.499,20.499,0.157,0.039,20.579,20.422
20.499,20.499,0.157,0.039,20.579,20.422
20.499,20.499,0.157,0.039,20.579,20.422
20.5,20.5,0.153,0.039,20.579,20.426
20.5,20.5,0.153,0.039,20.579,20.426
20.501,20.501,0.153,0.039,20.579,20.426
20.501,20.501,0.153,0.039,20.579,20.426
20.501,20.501,0.153,0.039,20.579,20.426
20.501,20.501,0.153,0.039,20.579,20.426
20.502,20.502,0.153,0.038,20.579,20.426
20.503,20.503,0.153,0.037,20.579,20.426
20.503,20.503,0.153,0.037,20.579,20.426
20.503,20.503,0.153,0.037,20.579,20.426
20.503,20.503,0.153,0.037,20.579,20.426
20.503,20.503,0.153,0.038,20.579,20.426
20.503,20.503,0.153,0.038,20.579,20.426
20.503,20.503,0.153,0.038,20.579,20.426
20.502,20.502,0.153,0.037,20.579,20.426
20.502,20.502,0.153,0.037,20.579,20.426
20.501,20.501,0.153,0.037,20.579,20.426
20.502,20.502,0.153,0.037,20.579,20.426
20.501,20.502,0.153,0.036,20.579,20.426
20.501,20.501,0.153,0.036,20.579,20.426
20.501,20.501,0.153,0.036,20.579,20.426
20.5,20.5,0.153,0.035,20.579,20.426
20.5,20.5,0.153,0.035,20.579,20.426
20.5,20.5,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.502,20.502,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.501,20.501,0.153,0.035,20.579,20.426
20.502,20.502,0.153,0.035,20.579,20.426
20.502,20.502,0.163,0.035,20.579,20.416
20.501,20.501,0.163,0.035,20.579,20.416
20.502,20.502,0.163,0.035,20.579,20.416
20.503,20.503,0.163,0.034,20.579,20.416
20.503,20.504,0.163,0.033,20.579,20.416
20.503,20.503,0.163,0.033,20.579,20.416
20.502,20.502,0.163,0.033,20.579,20.416
20.503,20.503,0.163,0.032,20.579,20.416
20.502,20.502,0.163,0.033,20.579,20.416
20.501,20.501,0.163,0.034,20.579,20.416
20.5,20.5,0.163,0.034,20.579,20.416
20.5,20.5,0.163,0.034,20.579,20.416
20.499,20.499,0.163,0.035,20.579,20.416
20.5,20.5,0.163,0.034,20.579,20.416
20.5,20.5,0.163,0.034,20.579,20.416
20.499,20.499,0.163,0.034,20.579,20.416
20.499,20.499,0.163,0.033,20.579,20.416
20.499,20.499,0.163,0.033,20.579,20.416
20.5,20.5,0.163,0.033,20.579,20.416
20.5,20.5,0.163,0.033,20.579,20.416
20.499,20.499,0.155,0.032,20.571,20.416
20.5,20.5,0.155,0.032,20.571,20.416
20.5,20.5,0.155,0.032,20.571,20.416
20.5,20.5,0.155,0.032,20.571,20.416
20.5,20.5,0.155,0.032,20.571,20.416
20.5,20.5,0.155,0.032,20.571,20.416
