NO VPN,VPN
1.972,2.679
1.688,2.8
1.673,2.706
1.693,2.702
1.949,2.519
1.684,2.716
1.935,2.667
1.821,2.788
1.88,2.847
1.738,2.531
1.829,3.01
1.707,2.709
1.834,2.781
1.79,2.539
1.832,2.579
1.824,2.557
1.829,2.454
1.727,2.525
1.814,2.436
1.848,2.646
1.802,2.339
1.829,2.524
1.812,2.411
1.867,2.444
1.89,2.589
1.84,2.52
1.89,2.541
1.78,2.582
1.832,2.541
1.831,2.525
1.8,2.511
1.835,2.442
1.81,2.585
1.748,2.713
1.73,2.497
1.803,2.768
1.846,2.558
1.838,2.489
1.665,2.626
1.665,2.501
1.659,2.751
1.686,2.712
1.711,2.459
2.207,2.522
1.856,2.418
1.814,2.501
1.709,2.652
1.731,2.597
1.91,2.438
1.725,2.425
1.732,2.289
1.907,2.552
2.196,2.61
1.824,2.487
1.851,2.52
1.805,2.734
1.818,2.533
1.901,2.585
1.803,2.57
1.742,2.569
1.834,2.504
1.823,2.509
1.817,2.41
1.832,2.643
1.725,2.485
1.645,2.457
1.764,2.348
1.822,2.475
1.852,2.548
1.838,2.97
1.816,2.38
1.816,2.507
1.847,2.446
1.816,2.434
1.832,2.9
1.861,2.882
1.727,2.609
1.816,2.609
1.816,2.494
1.758,3.377
1.766,2.61
1.777,2.497
1.817,2.599
1.81,2.566
1.743,2.598
1.883,2.542
2.07,2.326
1.809,2.494
1.812,2.621
1.813,2.462
1.813,2.548
1.831,2.597
1.81,2.632
1.885,2.454
1.807,2.559
1.817,2.511
1.803,2.544
1.87,3.148
1.835,2.553
1.821,2.798
1.814,2.547
1.838,2.538
1.804,2.51
2.046,2.499
1.852,2.493
1.773,2.516
1.801,2.414
1.817,2.513
1.723,2.469
1.908,2.572
1.78,2.584
1.825,2.415
1.847,2.611
1.845,2.533
1.8,2.883
1.803,2.484
1.821,2.529
1.8,2.561
1.783,2.384
1.818,2.55
1.802,2.504
1.8,2.54
1.797,2.386
1.819,2.54
1.82,2.453
1.793,2.436
1.793,2.562
1.758,2.512
1.831,2.592
1.823,2.56
2.659,2.49
1.788,2.4
1.834,2.683
1.731,2.395
1.626,2.806
2.557,2.572
1.806,2.768
2.387,2.693
1.685,2.685
1.797,2.628
1.81,2.645
1.821,2.622
1.838,2.827
1.83,2.712
1.838,2.741
1.826,2.533
1.713,2.536
1.642,2.332
1.838,2.712
1.951,2.768
1.83,2.674
1.819,2.663
1.824,2.706
1.795,2.658
1.816,2.71
1.845,2.511
1.838,2.521
1.762,2.541
1.807,2.558
1.816,2.625
1.805,2.554
1.69,2.718
1.843,2.398
1.778,2.735
1.844,2.678
1.835,2.651
1.808,3.243
1.819,2.637
1.797,2.617
1.748,2.568
1.811,2.567
1.796,2.635
1.8,2.621
1.797,2.507
1.781,2.672
1.716,2.531
1.81,2.797
1.779,2.502
1.837,2.637
1.846,2.863
1.826,2.688
1.862,2.672
1.798,2.709
1.774,2.728
1.846,2.664
1.72,2.673
1.805,2.647
1.729,2.37
1.831,2.416
1.665,2.77
1.669,2.877
1.616,5.448
1.752,2.576
1.807,3.062
1.8,2.583
1.809,2.883
1.791,2.554
1.82,2.64
1.802,2.499
1.801,2.669
1.77,2.556
1.637,2.418
1.805,2.691
1.789,2.79
1.717,2.417
1.803,2.679
1.628,3.009
1.772,2.574
1.807,2.66
1.805,2.701
1.822,2.683
1.744,2.711
3.398,2.693
1.796,2.746
1.703,2.639
1.853,2.681
1.685,2.607
1.631,2.701
3.724,2.701
1.721,2.653
1.652,2.567
1.928,2.685
1.822,2.495
1.899,2.618
1.818,2.523
1.854,2.59
1.857,2.464
1.783,2.611
1.823,2.521
1.797,2.545
1.833,2.514
1.65,2.428
1.755,2.449
1.822,2.502
1.693,2.637
1.751,2.771
1.732,2.394
1.812,2.667
1.782,2.591
1.721,2.623
1.767,2.508
1.763,2.331
1.84,2.276
1.831,2.283
1.814,2.575
1.775,2.625
1.697,2.674
1.792,2.716
1.81,2.691
1.797,2.623
1.809,2.641
1.831,2.754
1.818,2.474
1.799,2.703
1.821,2.76
1.711,2.575
1.786,2.554
2.228,2.262
1.825,2.794
1.658,2.611
1.799,2.698
1.845,2.543
1.782,2.607
1.782,2.799
1.798,2.808
1.802,2.63
1.866,2.736
1.817,2.747
1.819,2.775
1.821,2.423
1.825,2.843
1.742,2.274
1.856,2.754
1.843,2.33
1.681,2.484
1.825,2.821
1.837,2.61
1.76,2.544
1.831,2.753
1.667,2.692
1.672,3.091
1.838,3.089
1.838,2.661
1.688,2.627
1.88,2.812
1.87,2.553
1.831,2.617
1.617,2.564
1.817,2.364
2.86,2.863
1.81,2.539
3.306,3.034
1.92,2.684
1.805,2.662
1.825,2.759
1.837,2.641
1.749,2.576
1.771,2.653
1.727,2.644
1.812,2.565
1.69,2.7
1.644,2.734
1.766,2.535
1.853,2.611
1.637,2.49
1.806,2.553
1.76,2.565
1.826,2.405
1.816,2.694
1.803,2.7
1.859,2.623
1.736,2.568
1.811,2.583
1.811,2.63
1.815,2.662
1.822,2.528
1.816,2.719
1.803,2.624
1.73,2.617
1.79,2.46
1.766,2.703
1.818,2.729
1.654,2.704
1.842,2.673
1.719,2.441
1.703,2.602
1.853,2.748
1.643,2.422
1.756,2.685
1.771,2.943
1.817,2.729
1.749,2.523
1.798,2.588
1.82,2.828
1.785,2.615
1.824,2.544
1.791,2.627
1.807,2.642
1.816,2.689
1.783,2.759
1.823,2.81
1.813,2.392
1.744,2.343
1.805,2.587
1.689,2.678
1.622,2.594
1.676,2.519
1.77,2.615
1.803,2.647
1.734,2.601
1.822,2.474
1.691,2.571
1.702,2.543
1.701,3.645
1.841,2.736
1.762,2.592
1.665,2.642
1.802,2.613
1.801,2.703
1.831,2.611
1.629,2.54
1.8,2.534
1.747,2.672
1.759,2.519
1.857,2.698
1.844,2.631
1.802,2.606
1.792,2.689
1.806,2.773
1.723,6.758
1.822,2.562
1.788,2.677
1.838,2.604
1.749,3.011
1.86,3.166
1.808,3.554
1.652,2.698
1.753,2.623
1.734,2.78
1.666,2.7
1.809,3.21
1.749,2.668
1.82,2.544
1.832,2.702
1.847,3.001
1.831,2.657
1.8,2.566
1.814,2.71
1.811,4.338
1.819,2.58
1.806,2.724
1.731,2.656
1.805,2.66
1.847,2.754
1.786,2.744
1.862,2.737
1.825,2.743
1.813,3.071
1.673,2.604
1.779,2.711
