"No.","Time","Source","Destination","Protocol","Address","Length","Name","Info"
"1","0.000000","Cisco_a7:49:00","Broadcast","ARP","","42","","Gratuitous ARP for 10.169.152.228 (Reply)"
"2","1.552992","10.169.156.72","239.255.255.250","SSDP","","167","","M-SEARCH * HTTP/1.1 "
"3","1.899784","10.169.156.72","224.0.0.251","MDNS","","489","_airport._tcp.local,_apple-mobdev._tcp.local,96c30821._sub._apple-mobdev2._tcp.local,_apple-pairable._tcp.local,_meshcop._udp.local,_homekit._tcp.local,_companion-link._tcp.local,_rdlink._tcp.local,_scanner._tcp.local,_uscans._tcp.local,_uscan._tcp.local,_ipp._tcp.local,_ippusb._tcp.local,_ipps._tcp.local,_printer._tcp.local,_pdl-datastream._tcp.local,_ptp._tcp.local,_sleep-proxy._udp.local,_spotify-connect._tcp.local,_afpovertcp._tcp.local,_smb._tcp.local,_rfb._tcp.local,_adisk._tcp.local","Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 96c30821._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR _meshcop._udp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR _spotify-connect._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR MacBook Pro di Andrea (2)._companion-link._tcp.local"
"4","1.899785","fe80::1077:59f9:f102:22da","ff02::fb","MDNS","","509","_airport._tcp.local,_apple-mobdev._tcp.local,96c30821._sub._apple-mobdev2._tcp.local,_apple-pairable._tcp.local,_meshcop._udp.local,_homekit._tcp.local,_companion-link._tcp.local,_rdlink._tcp.local,_scanner._tcp.local,_uscans._tcp.local,_uscan._tcp.local,_ipp._tcp.local,_ippusb._tcp.local,_ipps._tcp.local,_printer._tcp.local,_pdl-datastream._tcp.local,_ptp._tcp.local,_sleep-proxy._udp.local,_spotify-connect._tcp.local,_afpovertcp._tcp.local,_smb._tcp.local,_rfb._tcp.local,_adisk._tcp.local","Standard query 0x0000 PTR _airport._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 96c30821._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question PTR _meshcop._udp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR _spotify-connect._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR MacBook Pro di Andrea (2)._companion-link._tcp.local"
"5","3.884239","10.169.156.72","17.57.146.52","TLSv1.2","","849","","Application Data"
"6","3.908178","17.57.146.52","10.169.156.72","TCP","","66","","443  >  49464 [ACK] Seq=1 Ack=784 Win=475 Len=0 TSval=2218059580 TSecr=495587207"
"7","3.908559","17.57.146.52","10.169.156.72","TLSv1.2","","100","","Application Data"
"8","3.908666","10.169.156.72","17.57.146.52","TCP","","66","","49464  >  443 [ACK] Seq=784 Ack=35 Win=2047 Len=0 TSval=495587230 TSecr=2218059580"
"9","5.121230","17.57.146.52","10.169.156.72","TLSv1.2","","130","","Application Data"
"10","5.121344","10.169.156.72","17.57.146.52","TCP","","66","","49464  >  443 [ACK] Seq=784 Ack=99 Win=2047 Len=0 TSval=495588440 TSecr=2218060734"
